Period;Live Birth;Merried;Divorces
January 1993;325;103;92
February 1993;308;154;87
March 1993;360;157;113
April 1993;328;174;98
May 1993;335;221;103
June 1993;321;252;101
July 1993;357;235;100
August 1993;367;254;100
September 1993;356;218;101
October 1993;344;218;102
November 1993;316;162;94
December 1993;323;185;96
January 1994;352;107;97
February 1994;294;156;88
March 1994;350;147;103
April 1994;302;175;100
May 1994;329;232;104
June 1994;319;262;103
July 1994;346;222;98
August 1994;392;262;99
September 1994;329;224;99
October 1994;340;232;99
November 1994;313;171;98
December 1994;314;173;103
January 1995;350;111;96
February 1995;287;146;89
March 1995;338;148;98
April 1995;313;165;98
May 1995;321;238;103
June 1995;318;263;104
July 1995;337;224;97
August 1995;364;254;99
September 1995;331;219;99
October 1995;328;224;98
November 1995;306;174;95
December 1995;300;169;92
January 1996;318;100;94
February 1996;286;155;85
March 1996;334;147;93
April 1996;314;172;95
May 1996;332;241;103
June 1996;304;242;103
July 1996;343;235;96
August 1996;360;239;101
September 1996;345;225;92
October 1996;348;231;99
November 1996;313;171;94
December 1996;302;184;94
January 1997;305;105;94
February 1997;289;163;87
March 1997;313;191;95
April 1997;342;193;106
May 1997;311;234;99
June 1997;324;233;100
July 1997;345;229;99
August 1997;341;252;93
September 1997;353;232;96
October 1997;329;235;102
November 1997;304;151;87
December 1997;324;165;104
January 2006;340;122;87
February 2006;320;134;73
March 2006;357;153;100
April 2006;330;158;103
May 2006;356;196;98
June 2006;359;218;97
July 2006;369;228;98
August 2006;388;229;90
September 2006;375;208;101
October 2006;367;199;103
November 2006;352;168;85
December 2006;355;150;103
January 2007;355;132;100
February 2007;327;144;86
March 2007;361;156;113
April 2007;338;162;116
May 2007;362;189;130
June 2007;356;222;123
July 2007;379;245;105
August 2007;390;230;100
September 2007;368;201;107
October 2007;371;201;108
November 2007;353;174;110
December 2007;356;148;115
January 2008;356;132;93
February 2008;338;136;95
March 2008;350;141;122
April 2008;346;159;121
May 2008;355;176;135
June 2008;349;218;129
July 2008;376;233;98
August 2008;373;225;120
September 2008;369;213;121
October 2008;359;206;96
November 2008;325;161;130
December 2008;351;161;121
January 2009;339;123;95
February 2009;317;127;103
March 2009;348;146;127
April 2009;337;163;122
May 2009;345;179;145
June 2009;348;217;132
July 2009;369;217;103
August 2009;360;212;141
September 2009;362;205;130
October 2009;347;196;100
November 2009;319;153;133
December 2009;344;138;127
January 1990;330;121;90
February 1990;316;143;86
March 1990;342;161;110
April 1990;330;177;95
May 1990;368;247;112
June 1990;361;274;97
July 1990;364;224;103
August 1990;362;264;104
September 1990;362;236;115
October 1990;361;219;102
November 1990;333;190;94
December 1990;350;191;100
January 1991;325;120;95
February 1991;312;151;91
March 1991;346;140;115
April 1991;340;186;101
May 1991;355;230;117
June 1991;342;258;101
July 1991;358;233;108
August 1991;346;253;111
September 1991;365;223;121
October 1991;355;221;99
November 1991;324;177;98
December 1991;342;180;103
January 1992;334;112;95
February 1992;304;166;91
March 1992;360;145;115
April 1992;330;175;101
May 1992;361;231;117
June 1992;333;256;101
July 1992;352;228;108
August 1992;350;242;111
September 1992;357;227;121
October 1992;345;221;99
November 1992;332;174;98
December 1992;325;184;103
